model,feature,importance,target,feature_clean,feature_group,economic_interpretation_allowed,interpretation_note
random_forest,num__current_ratio_lag1,0.0137284781152116,distress_next_4q,current_ratio_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_assets,0.0134258623122429,distress_next_4q,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_ratio,0.0127708352613159,distress_next_4q,current_ratio,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa_change_4obs,0.011224556638062,distress_next_4q,roa_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__inventory_assets,0.0103593229921467,distress_next_4q,inventory_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,cat__Sector_Energy,0.0098693022075571,distress_next_4q,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_liabilities,0.0098222353505768,distress_next_4q,current_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin_change_4obs,0.0096711421065608,distress_next_4q,net_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_flow_operating,0.0094970270475593,distress_next_4q,cash_flow_operating,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_assets,0.0092308353897544,distress_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__capex,0.0087638014892702,distress_next_4q,capex,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income,0.4568459001098747,distress_next_4q,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__equity_assets,0.1048255412133423,distress_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__cash_assets_lag1,0.0706054449316756,distress_next_4q,cash_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__roa_lag1,0.0516388805089011,distress_next_4q,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_assets_growth_4obs,0.0491952768994337,distress_next_4q,total_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__inventory_assets,0.033809802133702,distress_next_4q,inventory_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_ratio_lag1,0.0329927107374312,distress_next_4q,current_ratio_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_equity,0.0299532865554096,distress_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_margin_lag1,0.0288540405867044,distress_next_4q,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income_negative_count_prior_4obs,0.019006449853792,distress_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__cash_assets,0.0188292592644971,distress_next_4q,cash_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,cat__Sector_Communication Services,0.0107969430971995,distress_next_4q,Sector: Communication Services,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_liabilities,0.0103201791287649,distress_next_4q,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin_lag1,0.0101286471227591,distress_next_4q,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_income,0.0070739525251225,distress_next_4q,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_assets,0.0060334182926284,distress_next_4q,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__receivables_assets,0.0052410012903171,distress_next_4q,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__missingindicator_total_liabilities,0.0047512124088496,distress_next_4q,Missing: total_liabilities,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
gradient_boosting,num__total_revenue,0.0042689594735787,distress_next_4q,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__GS10,0.0040114163888357,distress_next_4q,GS10,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_revenue_growth_4obs,0.0032297182455058,distress_next_4q,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_assets,0.0032176727245159,distress_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__cash_equivalents_growth_4obs,0.0031481377232319,distress_next_4q,cash_equivalents_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__DCOILWTICO,0.0028258953763692,distress_next_4q,DCOILWTICO,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__missingindicator_leverage_assets,0.0028110371047005,distress_next_4q,Missing: leverage_assets,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
gradient_boosting,num__gross_margin_lag1,0.0024729902282457,distress_next_4q,gross_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__capex,0.0022862097811506,distress_next_4q,capex,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__NFCI,0.0018682123818395,distress_next_4q,NFCI,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__BUSLOANS_yoy_pct,0.0016805842881757,distress_next_4q,BUSLOANS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__leverage_assets_lag1,0.0016270134241833,distress_next_4q,leverage_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_liabilities,3.1623221304146623,success_resilience_next_4q,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__operating_margin,2.029485702024041,success_resilience_next_4q,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Energy,1.8432412012788075,success_resilience_next_4q,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_equity,1.5809482056161528,success_resilience_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_total_liabilities_growth_4obs,1.402535729865995,success_resilience_next_4q,Missing: total_liabilities_growth_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_leverage_assets_change_4obs,1.2864148105662123,success_resilience_next_4q,Missing: leverage_assets_change_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,cat__Sector_Basic Materials,1.2554427686170253,success_resilience_next_4q,Sector: Basic Materials,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Real Estate,1.187582079154772,success_resilience_next_4q,Sector: Real Estate,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__equity_assets,1.1783344406421918,success_resilience_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_current_assets_growth_4obs,1.0849835769358585,success_resilience_next_4q,Missing: current_assets_growth_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__net_income_negative_count_prior_4obs,1.0051292689510511,success_resilience_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_operating_income,0.933145716621383,success_resilience_next_4q,Missing: operating_income,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__GDPC1,0.91635556585248,success_resilience_next_4q,GDPC1,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_operating_margin,0.9064664413080168,success_resilience_next_4q,Missing: operating_margin,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__total_assets,0.855351520894288,success_resilience_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__leverage_assets_lag1,0.8398176030653185,success_resilience_next_4q,leverage_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Consumer Cyclical,0.8253196243339755,success_resilience_next_4q,Sector: Consumer Cyclical,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__short_term_debt,0.8208214679045094,success_resilience_next_4q,short_term_debt,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__roa,0.6757620339969641,success_resilience_next_4q,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__cash_equivalents,0.6662333346991965,success_resilience_next_4q,cash_equivalents,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_net_margin,0.6617831464723266,success_resilience_next_4q,Missing: net_margin,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_current_ratio_change_4obs,0.6215303243912129,success_resilience_next_4q,Missing: current_ratio_change_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__leverage_assets,0.5821299160201648,success_resilience_next_4q,leverage_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__current_assets,0.547324441464993,success_resilience_next_4q,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_cash_assets,0.5347038409088614,success_resilience_next_4q,Missing: cash_assets,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__long_term_debt,0.5315331202592324,success_resilience_next_4q,long_term_debt,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_total_liabilities,0.5131700528882773,success_resilience_next_4q,Missing: total_liabilities,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_leverage_assets,0.5085139347079879,success_resilience_next_4q,Missing: leverage_assets,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__PPIACO,0.5066950309383577,success_resilience_next_4q,PPIACO,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_revenue,0.4616821765279433,success_resilience_next_4q,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__leverage_assets,0.117678700854965,success_resilience_next_4q,leverage_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__leverage_assets_lag1,0.1074141117769522,success_resilience_next_4q,leverage_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__equity_assets,0.1028200914399526,success_resilience_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa,0.0604326277662374,success_resilience_next_4q,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa_lag1,0.0557645658634461,success_resilience_next_4q,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_equity,0.0369588487444872,success_resilience_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income,0.0364807194810094,success_resilience_next_4q,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_income,0.0282633418273141,success_resilience_next_4q,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income_negative_count_prior_4obs,0.0267518542769175,success_resilience_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin,0.0232857791770937,success_resilience_next_4q,net_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin,0.0199449494480204,success_resilience_next_4q,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_assets,0.0197187878728351,success_resilience_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_assets,0.0196680954291188,success_resilience_next_4q,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin_lag1,0.0193462887917729,success_resilience_next_4q,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_liabilities,0.0188311080517079,success_resilience_next_4q,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin_lag1,0.0154473526268637,success_resilience_next_4q,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_liabilities,0.0144640305538129,success_resilience_next_4q,current_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_revenue,0.0096252014332666,success_resilience_next_4q,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__inventory_assets,0.0087089950050863,success_resilience_next_4q,inventory_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_equivalents,0.0083677196538149,success_resilience_next_4q,cash_equivalents,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__long_term_debt,0.0076812109999064,success_resilience_next_4q,long_term_debt,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__receivables_assets,0.0074595265841176,success_resilience_next_4q,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_flow_operating,0.0068073320276552,success_resilience_next_4q,cash_flow_operating,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,cat__Sector_Energy,0.0067950825410705,success_resilience_next_4q,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_revenue_growth_4obs,0.0060120333547971,success_resilience_next_4q,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__capex,0.0057855925376691,success_resilience_next_4q,capex,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,cat__Sector_Financial Services,0.0055139604162063,success_resilience_next_4q,Sector: Financial Services,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_ratio,0.0052786546440704,success_resilience_next_4q,current_ratio,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_assets,0.0052369470639214,success_resilience_next_4q,cash_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__leverage_assets_change_4obs,0.0052058028109102,success_resilience_next_4q,leverage_assets_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__leverage_assets,0.3568479511376278,success_resilience_next_4q,leverage_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income,0.1636661165711649,success_resilience_next_4q,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__equity_assets,0.1268404875596595,success_resilience_next_4q,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income_negative_count_prior_4obs,0.0919218552565876,success_resilience_next_4q,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_income,0.036166190377807,success_resilience_next_4q,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__roa_lag1,0.03198055323351,success_resilience_next_4q,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__leverage_assets_lag1,0.0319120540696435,success_resilience_next_4q,leverage_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__roa,0.021793087595643,success_resilience_next_4q,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,cat__Sector_Energy,0.0196139859108828,success_resilience_next_4q,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__inventory_assets,0.0141265666896619,success_resilience_next_4q,inventory_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_liabilities,0.0078091518375427,success_resilience_next_4q,current_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_equity,0.0077756634470102,success_resilience_next_4q,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__receivables_assets,0.007620977417056,success_resilience_next_4q,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__short_term_debt,0.0073913676725323,success_resilience_next_4q,short_term_debt,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_assets,0.0060565583399753,success_resilience_next_4q,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__gross_profit,0.0044699915902108,success_resilience_next_4q,gross_profit,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_assets,0.0040515103351666,success_resilience_next_4q,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__long_term_debt,0.0039901448406745,success_resilience_next_4q,long_term_debt,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,cat__Sector_Consumer Cyclical,0.0037450147960037,success_resilience_next_4q,Sector: Consumer Cyclical,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_revenue,0.0030275467065284,success_resilience_next_4q,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_revenue_growth_4obs,0.0029730258537195,success_resilience_next_4q,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__cash_assets,0.0029010336134027,success_resilience_next_4q,cash_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin,0.0027249978736331,success_resilience_next_4q,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_assets_growth_4obs,0.0022873203170767,success_resilience_next_4q,total_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
