ticker,event_date,event_type,event_label,verification_status,notes
AAMRQ,2011-11-29,bankruptcy,formal_distress,source_verified_2026_05_07,AMR Corporation / American Airlines bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
TOYRF,2017-09-18,bankruptcy,formal_distress,source_verified_2026_05_07,Toys R Us bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
TUES,2020-05-27,bankruptcy,formal_distress,source_verified_2026_05_07,Tuesday Morning bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
TUP,2024-09-17,bankruptcy,formal_distress,source_verified_2026_05_07,Tupperware Brands bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
UCIHQ,2016-04-29,bankruptcy,formal_distress,source_verified_2026_05_07,Ultra Petroleum bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
WE,2023-11-06,bankruptcy,formal_distress,source_verified_2026_05_07,WeWork bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
WLL,2020-04-01,bankruptcy,formal_distress,source_verified_2026_05_07,Whiting Petroleum bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
WLTGQ,2015-07-15,bankruptcy,formal_distress,source_verified_2026_05_07,Walter Energy bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
YELL,2023-08-06,bankruptcy,formal_distress,source_verified_2026_05_07,Yellow Corporation bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0000084129,2023-10-15,bankruptcy,formal_distress,source_verified_2026_05_07,Rite Aid bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0000867773,2024-08-05,bankruptcy,formal_distress,source_verified_2026_05_07,SunPower bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0001008848,2024-04-01,bankruptcy,formal_distress,source_verified_2026_05_07,Acorda Therapeutics bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0000077281,2023-12-10,bankruptcy,formal_distress,source_verified_2026_05_07,PREIT bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0001223389,2024-07-23,bankruptcy,formal_distress,source_verified_2026_05_07,Conn's bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0000814549,2023-12-17,bankruptcy,formal_distress,source_verified_2026_05_07,Ebix bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
CIK0000890447,2024-09-24,bankruptcy,formal_distress,source_verified_2026_05_07,Vertex Energy bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
UNTC,2020-05-22,bankruptcy,formal_distress,source_verified_2026_05_07,Unit Corporation bankruptcy event date source-verified on 2026-05-07; see config/distress_event_source_provenance.csv.
AMC,2020-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
BYND,2022-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
CVNA,2022-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
NVAX,2022-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
PTON,2022-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
UPST,2022-12-31,near_distress,near_distress,initial_seed,Near-distress marker only; not used as formal distress target.
